0.800000 ; -0.400000 
-0.607896 ; 0.798400 ; -0.379412 
-0.647562 ; 0.796882 ; -0.360594 
-0.683721 ; 0.795440 ; -0.343391 
-0.716676 ; 0.794066 ; -0.327665 
-0.746704 ; 0.792756 ; -0.313288 
-0.774058 ; 0.791503 ; -0.300143 
-0.798970 ; 0.790302 ; -0.288123 
-0.821651 ; 0.789150 ; -0.277131 
-0.842294 ; 0.788041 ; -0.267079 
-0.861076 ; 0.786973 ; -0.257884 
-0.878156 ; 0.785941 ; -0.249474 
-0.893684 ; 0.784943 ; -0.241779 
-0.907792 ; 0.783976 ; -0.234738 
-0.920605 ; 0.783037 ; -0.228295 
-0.932233 ; 0.782124 ; -0.222398 
-0.942780 ; 0.781234 ; -0.216999 
-0.952339 ; 0.780366 ; -0.212056 
-0.960996 ; 0.779518 ; -0.207529 
-0.968828 ; 0.778688 ; -0.203382 
-0.975908 ; 0.777875 ; -0.199582 
-0.982300 ; 0.777076 ; -0.196100 
-0.988063 ; 0.776292 ; -0.192907 
-0.993253 ; 0.775520 ; -0.189979 
-0.997919 ; 0.774760 ; -0.187293 
-1.002106 ; 0.774011 ; -0.184828 
-1.005856 ; 0.773272 ; -0.182564 
-1.009206 ; 0.772542 ; -0.180486 
-1.012192 ; 0.771820 ; -0.178575 
-1.014845 ; 0.771105 ; -0.176819 
-1.017193 ; 0.770398 ; -0.175203 
-1.019264 ; 0.769697 ; -0.173715 
-1.021081 ; 0.769002 ; -0.172345 
-1.022666 ; 0.768313 ; -0.171082 
-1.024039 ; 0.767629 ; -0.169917 
-1.025219 ; 0.766949 ; -0.168841 
-1.026223 ; 0.766274 ; -0.167847 
-1.027066 ; 0.765602 ; -0.166928 
-1.027761 ; 0.764935 ; -0.166077 
-1.028322 ; 0.764270 ; -0.165289 
-1.028760 ; 0.763609 ; -0.164557 
-1.029086 ; 0.762951 ; -0.163877 
-1.029310 ; 0.762295 ; -0.163245 
-1.029441 ; 0.761642 ; -0.162657 
-1.029486 ; 0.760992 ; -0.162108 
-1.029454 ; 0.760343 ; -0.161595 
-1.029350 ; 0.759697 ; -0.161116 
-1.029182 ; 0.759052 ; -0.160666 
-1.028955 ; 0.758410 ; -0.160245 
-1.028673 ; 0.757769 ; -0.159849 
-1.028343 ; 0.757129 ; -0.159475 
-1.027968 ; 0.756491 ; -0.159123 
-1.027551 ; 0.755855 ; -0.158791 
-1.027097 ; 0.755220 ; -0.158476 
-1.026610 ; 0.754586 ; -0.158177 
-1.026091 ; 0.753953 ; -0.157893 
-1.025544 ; 0.753322 ; -0.157622 
-1.024971 ; 0.752691 ; -0.157363 
-1.024374 ; 0.752062 ; -0.157116 
-1.023756 ; 0.751433 ; -0.156879 
-1.023119 ; 0.750806 ; -0.156652 
-1.022463 ; 0.750179 ; -0.156433 
-1.021792 ; 0.749553 ; -0.156222 
-1.021106 ; 0.748929 ; -0.156018 
-1.020407 ; 0.748304 ; -0.155821 
-1.019695 ; 0.747681 ; -0.155630 
-1.018973 ; 0.747059 ; -0.155444 
-1.018240 ; 0.746437 ; -0.155264 
-1.017498 ; 0.745816 ; -0.155088 
-1.016748 ; 0.745195 ; -0.154916 
-1.015991 ; 0.744576 ; -0.154748 
-1.015227 ; 0.743957 ; -0.154584 
-1.014456 ; 0.743338 ; -0.154423 
-1.013680 ; 0.742721 ; -0.154265 
